id,user_id,lesson_id,attemps,points,created,querytext
218,8808bc39-8dd4-4190-a8a4-06e2eaa2aa21,11421,2,1,2020-10-11 23:51:21.005902,Entregame buenas prácticas
219,8808bc39-8dd4-4190-a8a4-06e2eaa2aa21,12426,3,4,2020-10-11 23:52:00.368082,Entregame buenas prácticas
220,429127d8-770e-412b-9340-e417286395d0,12440,1,2,2020-10-12 01:07:42.511431,ayuda
221,429127d8-770e-412b-9340-e417286395d0,11619,1,4,2020-10-12 01:12:53.328158,Quiero un tutorial para frontend movil
222,429127d8-770e-412b-9340-e417286395d0,11601,2,4,2020-10-12 01:13:15.896813,Quiero un tutorial para frontend movil
223,429127d8-770e-412b-9340-e417286395d0,12204,3,3,2020-10-12 01:13:30.568055,Quiero un tutorial para frontend movil
224,429127d8-770e-412b-9340-e417286395d0,12541,4,2,2020-10-12 01:13:52.495999,Quiero un tutorial para frontend movil
225,429127d8-770e-412b-9340-e417286395d0,12457,5,1,2020-10-12 01:14:03.891337,Quiero un tutorial para frontend movil
226,429127d8-770e-412b-9340-e417286395d0,11175,1,4,2020-10-12 01:15:35.385035,Necesito ayuda con la planificación de tareas
227,429127d8-770e-412b-9340-e417286395d0,12129,2,3,2020-10-12 01:15:55.507814,Necesito ayuda con la planificación de tareas
228,429127d8-770e-412b-9340-e417286395d0,12441,3,3,2020-10-12 01:16:01.211043,Necesito ayuda con la planificación de tareas
229,429127d8-770e-412b-9340-e417286395d0,12338,4,1,2020-10-12 01:16:08.010944,Necesito ayuda con la planificación de tareas
230,429127d8-770e-412b-9340-e417286395d0,12220,5,1,2020-10-12 01:16:15.270907,Necesito ayuda con la planificación de tareas
231,429127d8-770e-412b-9340-e417286395d0,12120,1,3,2020-10-12 01:17:11.832211,Entregame buenas prácticas
232,429127d8-770e-412b-9340-e417286395d0,11421,2,3,2020-10-12 01:17:25.846167,Entregame buenas prácticas
233,429127d8-770e-412b-9340-e417286395d0,12426,3,3,2020-10-12 01:17:36.708572,Entregame buenas prácticas
234,429127d8-770e-412b-9340-e417286395d0,12180,4,3,2020-10-12 01:17:41.468799,Entregame buenas prácticas
235,429127d8-770e-412b-9340-e417286395d0,12280,5,3,2020-10-12 01:18:01.706557,Entregame buenas prácticas
236,cc7baf7c-839b-41ea-b791-a416a3b0ee92,12120,1,5,2020-10-12 01:49:41.422006,Entregame buenas prácticas
237,836e51aa-9ccc-4105-94d2-f05ffd8338b0,12440,1,4,2020-10-12 14:42:09.205392,ayuda
238,836e51aa-9ccc-4105-94d2-f05ffd8338b0,12585,2,3,2020-10-12 14:42:44.332318,ayuda
239,836e51aa-9ccc-4105-94d2-f05ffd8338b0,11483,3,2,2020-10-12 14:43:13.184304,ayuda
240,836e51aa-9ccc-4105-94d2-f05ffd8338b0,11472,4,1,2020-10-12 14:43:21.042332,ayuda
241,836e51aa-9ccc-4105-94d2-f05ffd8338b0,11876,5,3,2020-10-12 14:45:48.008319,ayuda
242,836e51aa-9ccc-4105-94d2-f05ffd8338b0,11175,1,4,2020-10-12 14:46:33.383512,necesito ayuda planificacion tareas
243,836e51aa-9ccc-4105-94d2-f05ffd8338b0,12129,2,2,2020-10-12 14:46:44.861725,necesito ayuda planificacion tareas
